City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,alto barinas,8.5931,-70.2261,295.98,95,98,1.88,VE,1698215545
84,queenstown,-31.8976,26.8753,289.52,49,0,0.22,ZA,1698215545
85,ribeira grande,38.5167,-28.7,294.69,88,75,9.26,PT,1698215545
86,hawaiian paradise park,19.5933,-154.9731,298.88,92,40,1.54,US,1698215546
87,prien,30.1819,-93.2738,296.27,95,75,3.6,US,1698215546
88,moyynkum,44.2914,72.9469,292.06,37,100,2.65,KZ,1698215546
89,prince rupert,54.3161,-130.3201,278.98,65,0,5.66,CA,1698215280
90,usogorsk,63.4106,48.6872,272.41,86,17,3.4,RU,1698215282
91,kourou,5.1552,-52.6478,298.18,82,100,3.91,GF,1698215547
92,happy valley-goose bay,53.3168,-60.3315,279.32,65,75,2.06,CA,1698215548
93,yellowknife,62.456,-114.3525,268.38,91,16,1.79,CA,1698215254
94,alfafar,39.4167,-0.3833,293.19,69,20,5.66,ES,1698215548
95,constantia,44.1833,28.65,290.76,78,100,7.41,RO,1698215265
96,bilibino,68.0546,166.4372,256.48,99,13,1.98,RU,1698215549
97,wajir,1.7471,40.0573,300.13,78,75,5.14,KE,1698215550
98,odzak,45.0111,18.3267,289.31,60,3,3.96,BA,1698215550
99,geraldton,-28.7667,114.6,299.38,50,0,10.29,AU,1698215484
100,bandipura,34.4167,74.65,292.33,30,0,1.75,IN,1698215551
101,tazacorte,28.629,-17.9293,293.69,64,40,4.12,ES,1698215551
102,mount gambier,-37.8333,140.7667,284.87,47,16,6.63,AU,1698215269
103,idri,27.5,13.2667,298.88,23,14,2.32,LY,1698215552
104,shady hollow,30.1649,-97.8622,297.36,90,75,6.17,US,1698215552
105,georgetown,5.4112,100.3354,304.12,70,40,4.63,MY,1698215552
106,aasiaat,68.7098,-52.8699,267.49,73,100,4.89,GL,1698215553
107,flying fish cove,-10.4217,105.6791,301.97,74,40,5.66,CX,1698215553
108,iqaluit,63.7506,-68.5145,273.0,69,100,0.0,CA,1698215268
109,brisas de zicatela,15.8369,-97.0419,298.88,88,100,2.48,MX,1698215554
110,bamboo flat,11.7,92.7167,303.2,74,75,2.06,IN,1698215554
111,olonkinbyen,70.9221,-8.7187,276.08,92,100,3.51,SJ,1698215555
112,santa cruz,-17.8,-63.1667,297.85,83,20,1.03,BO,1698215555
113,vilppula,62.0212,24.5048,270.25,78,84,2.27,FI,1698215555
114,thompson,55.7435,-97.8558,270.24,74,75,2.57,CA,1698215556
115,sault ste. marie,46.5168,-84.3333,287.46,100,100,1.54,CA,1698215556
116,rio verde de mato grosso,-18.9181,-54.8442,298.31,74,97,2.01,BR,1698215556
117,tiksi,71.6872,128.8694,253.96,99,20,3.85,RU,1698215557
118,kish,26.5578,54.0194,305.3,62,40,2.06,IR,1698215557
119,glace bay,46.1969,-59.957,279.97,94,20,4.12,CA,1698215557
120,veraval,20.9,70.3667,306.21,37,3,0.89,IN,1698215558
121,capitan bado,-23.2667,-55.5333,293.47,96,97,1.52,PY,1698215558
122,champerico,14.3,-91.9167,298.8,84,89,2.69,GT,1698215559
123,polyarnyy,69.1989,33.4478,271.39,94,98,2.17,RU,1698215559
124,anadyr,64.75,177.4833,276.43,100,75,7.0,RU,1698215559
125,kiunga,-6.1219,141.2906,304.31,47,11,1.89,PG,1698215559
126,bethel,41.3712,-73.414,285.32,82,0,0.0,US,1698215560
127,klyuchi,52.2667,79.1667,284.74,32,100,8.49,RU,1698215560
128,kavaratti,10.5669,72.642,302.11,67,12,3.19,IN,1698215560
129,avarua,-21.2078,-159.775,294.18,64,75,2.57,CK,1698215561
130,saint-joseph,-21.3667,55.6167,301.74,74,18,0.97,RE,1698215561
131,lompoc,34.6391,-120.4579,288.23,87,100,3.58,US,1698215313
132,blagoevgrad,42.0167,23.1,293.8,51,100,1.38,BG,1698215562
133,kudahuvadhoo,2.6708,72.8944,301.29,77,97,5.58,MV,1698215562
